제품코드,정식제품명,규격,단위
159,(이도) 소독용에탄올 83% (1L),1L,
162,"LATEX EXAMINATION GLOVE, (글러브)#X-Small",X-Small,
185,성심) 인슐린 실린지 1CC (31G*8mm),31G*8mm,
188,협성) HEPARINE CAP (해파린캡),HS-T-05,
190,"문정) 솜면봉 6"" (수입)","6"" / (PK/100EA)",
198,성심) 인슐린 실린지 0.5CC (30G*8mm),30G*8mm,
200,"LATEX EXAMINATION GLOVE, (글러브)#Small",Small,
201,(이도) 소독용에탄올 83% (4L),4L,
205,"종이테잎 1"" SKINTONE (1533-1) 1인치",(2.5CM*9.1M),
208,"덕우) I.V.Cath (24g*3/4"")","24g*3/4""",
214,"LATEX EXAMINATION GLOVE, (글러브)#Medium",Medium,
215,SONO JELLY 250ml,250ml (Blue),
216,SONO JELLY 5L (투명),5L (투명),
217,1CC 루어락 (Syringe#Luer Lock),(1CC),
218,3CC 루어락 (Syringe#Luer Lock),(3CC),
235,마스크 유한(Band type),(Band type),
239,수성) 절단솜#탈지면 4*6 [화장솜/450g],4*6 (450g),
255,"신창) 일반수액세트, 1104, 210CM (무침)",#1104#210cm,
256,"신창) Y자 수액세트, 122, 210CM","122, 210CM(PK/50EA)",
257,"성심) 10CC 주사기 (22G*1"") 100EA","(22G*1"")",
269,(퍼슨) 소독용에탄올 80% (1L),1L,
274,"메디풀) NEEDLE#니들 21G (1¼"")","(21G*1¼"")",
278,"신창) 3CC 주사기 (23G*1"") 100EA","(23G*1"")",
279,"신창) 1CC 주사기 (26G*½"") 100EA","(26G*½"")",
281,"성심) 10CC 주사기 (18G*½"") 100EA","(18G*½"")",
286,"메디풀) NEEDLE 26G (½"")","(26G*1/2"")",
292,성심) 수액세트/DEHP FREE,무침,
294,"나비침, 23G",23G,
301,"신창) 5CC 주사기 (23G*1"") 100EA","(23G*1"")",
302,"신창) 10CC 주사기 (18G*½"") 100EA","(18G*½"")",
303,"신창) 50CC 주사기 (18G*½"") 25EA","(18G*½"")",
308,"성심) 5CC 주사기 (23G*1"") 100EA","(23G*1"")",
313,"덕우) I.V.Cath (22g*3/4"")","22g*3/4""",
316,성심) 인슐린 실린지 1CC (29G*13mm),29G*13mm,
317,"신창) 5CC 주사기 (22G*1"") 100EA","(22G*1"")",
320,메디텍) 자동전자혈압계 FUZZY MD650,MD-650,
324,"메디풀) NEEDLE 23G (1"")","(23G*1"")",
325,"성심) 10CC 주사기 (21G*1"") 100EA","(21G*1"")",
327,성심) 10CC 주사기 18G 100EA,18G,
334,"종이테잎 1"" SKINTONE (1533-0) 0.5인치",(1.25CM*9.1M),
335,신창) NEEDLE 18G 100EA,18G,
336,3M Durapore 1538-1 #실크테이프 중,(2.5CM*9.1M),
337,"종이테잎 1"" (1530-0) # 마이크로포 흰색 0.5인치",(1.25CM*9.1M),
338,"종이테잎 1"" (1530-1) # 마이크로포 흰색 1인치",(2.5CM*9.1M),
340,성심) NEEDLE#니들 30G*4mm,30*4mm,
349,"성심) 20CC 주사기 (18G*½"") 50EA","(20G*½"")",
350,"신창) 50CC 주사기 (18G*½"")","(50G*½"")",
351,"성심) 5CC 주사기 (18G*½"") 100EA","(5G*½"")",
353,3M TEGADERM 1624 (6CM * 7CM)  #테가덤 방수밴드 6*7,6CM*7M,
354,3M TEGADERM 1626 (10CM * 12CM) #테가덤 방수밴드  10*12,(10CM*12M),
364,BD) 인슐린 실린지 1CC (31G*8mm),31G*8mm,
365,"BD) 3CC 주사기 (23G*1"") 100EA","(23G*1"")",
368,BD) 인슐린 실린지 0.5CC (31G*6mm),31G*6mm,
374,"메디풀) NEEDLE 18G(1 1/2"")",18G,
379,수성) 거즈볼 22*25cm (원형),22*25cm(원형),
380,수성) COTTON BALL 2호 # 코튼볼2호 필터타입,BOX,
381,EXTENSION(인성) 90CM/100CM # 익스텐션 튜브,100CM1100,
383,"성심) 3CC 주사기 (23G*1"") 100EA","(23G*1"")",
387,토니켓,(내경4mm*외경6mm),
388,"솜붕대(대한)파랑6""",PK,
400,"메디풀) NEEDLE 30G (½"")","(30G*½"")",
402,"성심) NEEDLE 27G (½"")","(27G*½"")",
416,"성심) 5CC 주사기 (21G*1"") 100EA","(21G*1"")",
420,TOP GLOVE POWDER FREE 6.5 /50P,"6.5""",
421,TOP GLOVE POWDER FREE 7.5 /50P,"7.5""",
423,"신창) 10CC 주사기 (22G*1"") 100EA","22G*1""",
425,"WRP)LATEX EXAMINATION GLOVE, (글러브)#Small",Small,
428,"WRP)LATEX EXAMINATION GLOVE, (글러브)#Medium",Medium,
431,성심) 20CC 주사기 (18G*1) 50EA,(18G*1),
433,BD) IV-CA 24G,0.7*19mm,
435,"성심) 50CC 주사기 (18G*½"")","(50G*½"")",
436,"성심) NEEDLE 25G*38mm (½"")","25G*38mm (½"")",
437,"성심) NEEDLE 26G*13mm (½"")","26G*13mm (½"")",
443,"성심) NEEDLE 18G*38mm (1*½"")","18G*38mm (1*½"")",
455,"대한멸균 에탄올스왑, (PK/100EA/낱개포장)",(PK/100ea/낱개포장),
457,TOP GLOVE POWDER FREE 7.0 /50P,"7.0""",
458,성심) 30CC 주사기 (18G*1) 50EA,(18G*1),
460,LOR Syringe 10ML,10ml,
461,"Thaad) LATEX EXAMINATION GLOVE, (글러브)#Small",Small,
463,"3M 1581(1"") 코반붕대",1인치,
464,3M 2762(5cm*10m)부직반창고,5cm*10m,
465,"Thaad) LATEX EXAMINATION GLOVE, (글러브)#Medium",Medium,
466,BD) IV-CA 20G,1.16 inch,
470,알러지글러브 7.0 (Protexis),7.0,
482,한진)POLY GLOVE(M),Medium,
