거래처코드,거래처명,담당자,연락처,이메일,배송지
V001,용인아나파,노진국,031-334-7585,,"경기도 용인시 처인구 금령로89,우리은행 2층 (김량장동)"
V002,고려에스라인,노진국,032-551-3222,,"인천광역시 계양구 계양대로 44, 덕용프라자 401호, 402호(작전동)"
V003,신사인피부과,노진국,02-541-2555,,서울 강남구 도산대로 107(신사동 501-2) 신용호타워 11층
V004,타임리턴의원,노진국,02-6956-1661,,"서울특별시 영등포구 여의나루로 71, 동화빌딩 101호"
V005,미엘르반포,노진국,02-541-1050,,서울 서초구 반포동 748-1 청호빌딩 4층
V006,연세클리어,노진국,031-365-5533,,"경기도 시흥시 배곧3로 96, M-플러스상가 4층 410호"
V007,심포니셀의원,박윤미,02-543-5777,,"서울특별시 강남구 논현로 615, 4층"
V008,이상피부과,노진국,02-451-2301,,"서울특별시 강남구 개포로 504, 메트하임 6층 601~603호"
V009,이호표 피부과의원,노진국,02-512-8600,,서울 강남구 압구정로8길 20(신사동 533) 호암빌딩 3F
V010,강동아이비의원,노진국,02-484-7525,,"서울특별시 강동구 천호대로 1131 4층 (길동, 거산 유팰리스) (길동)"
V011,이정형외과,노진국,02-835-1002,,"서울특별시 동작구 보라매로3길 29, 해태보라매타워 3층 2호"
V012,청담성모의원,노진국,02-541-8175,,"서울특별시 강남구 학동로 433, 청담클리닉빌딩 4층"
